Date,Open,High,Low,Close,Adj Close,Volume
2018-10-08,5728.166504,5807.108398,5725.994629,5788.325195,5788.325195,3462659600
2018-10-09,5789.064453,5793.401367,5754.208496,5772.573730,5772.573730,3111788285
2018-10-10,5770.531250,5771.002930,5681.205566,5710.787109,5710.787109,3284543913
2018-10-11,5711.836426,5712.000977,5386.949219,5397.446289,5397.446289,4470356475
2018-10-12,5382.788574,5454.762207,5380.277832,5425.629395,5425.629395,3271592547
2018-10-13,5428.655762,5454.968750,5412.857910,5435.495605,5435.495605,2649466819
2018-10-14,5437.657227,5511.653809,5430.445801,5445.265137,5445.265137,2670572684
2018-10-15,5446.745605,6023.188477,5416.737305,5694.496094,5694.496094,6362854095
2018-10-16,5698.700195,5764.974121,5671.630859,5699.349121,5699.349121,3520818684
2018-10-17,5694.519043,5711.254883,5649.182129,5691.618652,5691.618652,3555653960
2018-10-18,5689.792480,5712.393555,5631.504395,5654.044922,5654.044922,3425647284
2018-10-19,5655.231934,5668.028320,5613.974609,5608.355469,5608.355469,3104454988
2018-10-20,5604.460449,5636.382324,5594.120605,5628.982910,5628.982910,2931192523
2018-10-21,5629.763672,5686.119141,5617.541504,5632.015137,5632.015137,2826811302
2018-10-22,5635.229492,5703.262207,5632.823242,5653.897461,5653.897461,3201088479
2018-10-23,5640.998535,5670.599121,5621.288086,5644.216309,5644.216309,3238974043
2018-10-24,5647.395508,5688.420898,5637.851074,5700.392090,5700.392090,3005302035
2018-10-25,5690.928711,5718.764648,5651.272949,5692.963379,5692.963379,2839805286
2018-10-26,5686.793945,5711.970703,5669.239258,5673.823242,5673.823242,2897091615
2018-10-27,5679.160156,5702.443359,5655.228516,5678.756836,5678.756836,2973504975
2018-10-28,5680.754883,5702.128906,5643.952148,5690.886230,5690.886230,3022665008
2018-10-29,5695.965820,5707.162598,5545.824707,5566.755371,5566.755371,3691968685
2018-10-30,5571.170898,5594.539551,5543.155273,5583.557617,5583.557617,3332979152
2018-10-31,5585.955078,5597.978027,5569.068848,5583.194336,5583.194336,3704012541
2018-11-01,5584.010254,5769.176270,5571.660645,5592.873047,5592.873047,3323042331
2018-11-02,5593.579102,5617.722656,5558.293457,5610.328125,5610.328125,3719062834
2018-11-03,5609.273926,5620.541504,5569.869141,5586.458496,5586.458496,3213017648
2018-11-04,5590.155762,5604.489746,5530.062988,5593.523926,5593.523926,3851188945
2018-11-05,5582.994629,5690.457031,5583.834961,5626.594238,5626.594238,3659057732
2018-11-06,5638.567871,5660.227539,5618.238770,5651.393555,5651.393555,4111087388
